,post_date,post_text
25,2021-05-19 08:03:00,"🏠 Хотите обустроить свою квартиру или мечтаете стать дизайнером интерьеров? 
 
На бесплатном курсе узнаете, какие сейчас тренды в дизайне, как работать с идеями, как грамотно расставить предметы мебели и добиться чистого и свежего пространства. 
Итог — проект комнаты в SketchUp. 
 
👩‍🎨 Начать можно прямо сейчас → http://netolo.gy/gyq"
26,2021-05-18 15:19:00,"Исследования говорят, что сообщения с элементами сторителлинга вызывают на 35% больше доверия. 
 
Делимся приёмами, которые помогут читателю больше вам доверять 👇"
27,2021-05-18 07:13:00,"Разработка видеоигр — сложное искусство, за кадром которого остаётся огромная работа 🎮 
 
Вместе с N + 1 разбираемся, как менялась индустрия видеоигр от эпохи восьмибитных игр до нашего времени → http://netolo.gy/gyk"
28,2021-05-17 08:51:00,"📈 27 мая стартует бесплатный курс «Визуализация данных: от скучных графиков к интерактивным дашбордам» 
 
На время курса-симулятора вы — аналитик крупной ритейл-компании, ваша цель — найти новую точку продаж, используя основные инструменты визуализации данных. Вы научитесь строить интерактивные дашборды, использовать данные для принятия решений и подбирать инструмент визуализации под задачу. 
 
🧮 Справиться можно и без пятёрки по математике → http://netolo.gy/gyb"
29,2021-05-17 07:59:00,"Устали приходить на сессии? У нас есть решение — дистанционная магистратура 
 
По ссылке текст о том, что такое дистанционная магистратура, чем она отличается от обычной и как выбрать вуз для поступления → http://netolo.gy/gxQ"
30,2021-05-16 09:01:00,"Собрали подборку из 4 книг, чтобы перестать срываться по пустякам 👇
 
▪ «Радость жизни. Философия стоицизма для XXI века», Уильям Ирвин 
 
По мнению автора, сейчас многим не хватает мудрости стоицизма. Уильям Ирвин уверен, что древняя философия поможет найти гармонию и увидеть возможности даже в самых тяжёлых ситуациях. Он предлагает обратиться к античному учению и перестать тратить своё время на то, что человек изменить не может. Книга подходит для тех, кто устал и хочет провести жизнь без тревоги и оглядки на социум. 
 
▪ «Парадокс Шимпанзе. Как управлять эмоциями для достижения своих целей», Стив Питерс 
 
Благодаря Стиву Питерсу британские велогонщики взяли золото на Олимпиаде. Дело в том, что Стив — известный психолог, автор программ по работе с разумом и эмоциями. Он считает, что эмоции, как шимпанзе, могут стать нашим другом или неуправляемым врагом. Тому, как поладить с собой и подружиться с эмоциями, и посвящена эта книга. 
 
▪ «Как рождаются эмоции», Лиза Фельдман Барретт 
 
Книга для тех, кто хочет больше узнать о природе эмоций. Лиза Баретт взяла за основу исследования по нейробиологии и выяснила, что эмоции различны для разных народов. Автор уверена: эмоции — это комбинация свойств тела, мозга и даже среды и культуры. Поэтому благодаря этой книге можно по-новому посмотреть на эмоции и на свои отношения с окружающими. 
 
▪ Луций Сенека: избранные труды 
За мудрыми мыслями иногда можно обратиться к древним философам. Сенека — первый представитель стоицизма в Древнем мире. Его философский трактат «О счастливой жизни» — это попытка найти ответ на вопрос, в же заключается счастье. Возможна, эта книга поможет лучше понять своё «Я» и обрести больше душевного равновесия."
31,2021-05-15 12:07:00,"События в Москве, Санкт-Петербурге, Иннополисе и онлайн — всё здесь 👇"
32,2021-05-15 08:33:00,"Вместо споров о Brawl Stars можно самому заняться разработкой игр 🎮 
 
В подборке статей — всё о индустрии игр и карьере в геймдизайне: 
 
🔷 Как создаются интересные открытые миры → http://netolo.gy/gxw
 
🔷 Как начинающему геймдизайнеру устроиться в игровую студию → http://netolo.gy/gxx 
 
🔷 Почему нельзя найти универсальный сеттинг, который понравится всем → http://netolo.gy/gxy 
 
🔷 Как начинающему нарративному или левел-дизайнеру найти работу в игровой студии → http://netolo.gy/gxz"
33,2021-05-14 14:18:00,"Поехали! А точнее, поплыли ⛵ 
 
Проект ЭтоВсёРоссия отправляется в круиз по городам России. Сочи, Ростов-на-Дону, Волгоград, Саратов, Самара, Ульяновск, Казань, Нижний-Новгород, Ярославль, Санкт-Петербург — 10 городов и в каждом из них встреча со студентами, экспертами, преподавателями и сотрудниками Нетологии. Они расскажут о себе и своём пути в диджитале, проведут по лучшим местам и достопримечательностям и докажут, что внутренний туризм в России — это реально. 
 
Следите за событиями в нашем Инстаграме → http://netolo.gy/gxm"
34,2021-05-14 08:15:00,"Без софт-скиллов никуда: они пригодятся и в обычной жизни, и на работе. 
 
В подборке занятия по эмоциональному интеллекту, фактчекингу медицины в интернете и составлению резюме: 
 
🔶 17 мая, 17:00 — Как развивать эмоциональный интеллект 
Узнаете, что такое EQ, как справляться со своими эмоциями и каким образом использовать способности в работе и жизни → http://netolo.gy/gxr 
 
🔶 25 мая, 17:00 — Как не умереть, читая про медицину в интернете 
Изучите основы «медицинского гугления» и сможете разговаривать с врачом почти на равных → http://netolo.gy/gxs 
 
🔶 25 мая, 17:00 — Как перестать сомневаться в своих профессиональных достижениях 
Обсудим, как синдром самозванца связан со стрессом, почему появляется профессиональная неуверенность и что сделать, чтобы избавиться от страха → http://netolo.gy/gxt 
 
🔶 26 мая, 18:00 — Как составить резюме, которое заметят 
Резюме — главный способ заявить о себе на рынке, на занятии разберёте кейсы, научитесь писать CV и узнаете алгоритм поиска работы → http://netolo.gy/gxu 
 
🔶 26 мая, 19:00 — Как расти в карьере с помощью мягких навыков 
Разберёмся в актуальных гибких навыках, узнаем, как использовать их в карьере, изучим способы развития в онлайн-формате → http://netolo.gy/gxv"
